name,geoid,county,state,cases,c_avg,c_avg_100
"Jayuya, Puerto Rico",72073,Jayuya,Puerto Rico,0,42.43,304.21
"Loving, Texas",48301,Loving,Texas,2,0.47,278.45
"Lares, Puerto Rico",72081,Lares,Puerto Rico,-1,54.14,221.14
"Arroyo, Puerto Rico",72015,Arroyo,Puerto Rico,0,36.86,214.67
"Guayanilla, Puerto Rico",72059,Guayanilla,Puerto Rico,0,35.57,200.75
"Patillas, Puerto Rico",72109,Patillas,Puerto Rico,0,30.0,183.94
"Cidra, Puerto Rico",72041,Cidra,Puerto Rico,0,69.86,182.45
"San Lorenzo, Puerto Rico",72129,San Lorenzo,Puerto Rico,0,59.57,165.94
"St. Thomas, Virgin Islands",78030,St. Thomas,Virgin Islands,0,83.25,161.23
"Aguada, Puerto Rico",72003,Aguada,Puerto Rico,0,58.29,159.16
"Menominee, Wisconsin",55078,Menominee,Wisconsin,0,7.14,156.78
"Hormigueros, Puerto Rico",72067,Hormigueros,Puerto Rico,1,23.0,148.75
"Guayama, Puerto Rico",72057,Guayama,Puerto Rico,1,58.29,147.48
"Bacon, Georgia",13005,Bacon,Georgia,0,16.43,147.16
"Santa Isabel, Puerto Rico",72133,Santa Isabel,Puerto Rico,1,30.86,146.68
"San German, Puerto Rico",72125,San German,Puerto Rico,1,44.29,146.5
"Yabucoa, Puerto Rico",72151,Yabucoa,Puerto Rico,0,47.0,146.15
"Cayey, Puerto Rico",72035,Cayey,Puerto Rico,0,61.71,145.73
"Utuado, Puerto Rico",72141,Utuado,Puerto Rico,0,39.71,144.18
"Florida, Puerto Rico",72054,Florida,Puerto Rico,0,16.29,143.75
"Villalba, Puerto Rico",72149,Villalba,Puerto Rico,6,30.86,143.68
"Lajas, Puerto Rico",72079,Lajas,Puerto Rico,1,31.57,143.57
"Maricao, Puerto Rico",72093,Maricao,Puerto Rico,0,7.71,142.17
"Cabo Rojo, Puerto Rico",72023,Cabo Rojo,Puerto Rico,-1,66.86,141.9
"Barceloneta, Puerto Rico",72017,Barceloneta,Puerto Rico,2,32.57,138.58
"Aguas Buenas, Puerto Rico",72007,Aguas Buenas,Puerto Rico,0,34.14,137.41
"Dorado, Puerto Rico",72051,Dorado,Puerto Rico,0,48.86,136.55
"Yauco, Puerto Rico",72153,Yauco,Puerto Rico,1,46.0,135.85
"Camuy, Puerto Rico",72027,Camuy,Puerto Rico,2,41.43,135.82
"Adjuntas, Puerto Rico",72001,Adjuntas,Puerto Rico,0,23.43,135.41
"Quebradillas, Puerto Rico",72115,Quebradillas,Puerto Rico,1,30.86,135.17
"Coamo, Puerto Rico",72043,Coamo,Puerto Rico,0,50.71,134.01
"Barranquitas, Puerto Rico",72019,Barranquitas,Puerto Rico,0,36.71,133.62
"Manati, Puerto Rico",72091,Manati,Puerto Rico,0,49.57,132.57
"Orocovis, Puerto Rico",72107,Orocovis,Puerto Rico,0,26.71,132.11
"Vega Alta, Puerto Rico",72143,Vega Alta,Puerto Rico,1,46.14,128.87
"Ceiba, Puerto Rico",72037,Ceiba,Puerto Rico,0,14.14,128.36
"Maunabo, Puerto Rico",72095,Maunabo,Puerto Rico,0,13.29,128.12
"Humacao, Puerto Rico",72069,Humacao,Puerto Rico,0,64.57,127.78
"Gurabo, Puerto Rico",72063,Gurabo,Puerto Rico,1,57.71,125.28
"Hatillo, Puerto Rico",72065,Hatillo,Puerto Rico,-1,47.57,122.52
"San Sebastian, Puerto Rico",72131,San Sebastian,Puerto Rico,1,43.57,122.21
"Catano, Puerto Rico",72033,Catano,Puerto Rico,0,28.29,121.69
