name,geoid,county,state,deaths,d_avg,d_avg_100
"Keweenaw, Michigan",26083,Keweenaw,Michigan,0,0.14,6.75
"Perquimans, North Carolina",37143,Perquimans,North Carolina,0,0.71,5.31
"Chowan, North Carolina",37041,Chowan,North Carolina,0,0.71,5.12
"Polk, North Carolina",37149,Polk,North Carolina,0,1.0,4.83
"Crowley, Colorado",08025,Crowley,Colorado,0,0.29,4.71
"De Baca, New Mexico",35011,De Baca,New Mexico,0,0.08,4.4
"Pasquotank, North Carolina",37139,Pasquotank,North Carolina,0,1.75,4.39
"Warren, North Carolina",37185,Warren,North Carolina,0,0.86,4.34
"Granite, Montana",30039,Granite,Montana,0,0.14,4.23
"Rockingham, North Carolina",37157,Rockingham,North Carolina,0,3.71,4.08
"Catron, New Mexico",35003,Catron,New Mexico,0,0.14,4.05
"Swain, North Carolina",37173,Swain,North Carolina,0,0.57,4.0
"Haywood, North Carolina",37087,Haywood,North Carolina,0,2.43,3.9
"Lee, Kentucky",21129,Lee,Kentucky,0,0.29,3.86
"Yancey, North Carolina",37199,Yancey,North Carolina,0,0.67,3.69
"Quay, New Mexico",35037,Quay,New Mexico,0,0.29,3.46
"Hidalgo, New Mexico",35023,Hidalgo,New Mexico,0,0.14,3.4
"Davie, North Carolina",37059,Davie,North Carolina,0,1.43,3.33
"Hickman, Kentucky",21105,Hickman,Kentucky,0,0.14,3.26
"Jackson, North Carolina",37099,Jackson,North Carolina,0,1.43,3.25
"Costilla, Colorado",08023,Costilla,Colorado,0,0.13,3.22
"Kit Carson, Colorado",08063,Kit Carson,Colorado,0,0.22,3.13
"Lenoir, North Carolina",37107,Lenoir,North Carolina,0,1.71,3.06
"Edgecombe, North Carolina",37065,Edgecombe,North Carolina,0,1.57,3.05
"Murray, Oklahoma",40099,Murray,Oklahoma,0,0.43,3.05
"Beaufort, North Carolina",37013,Beaufort,North Carolina,0,1.43,3.04
"Carlisle, Kentucky",21039,Carlisle,Kentucky,0,0.14,3.0
"Gaston, North Carolina",37071,Gaston,North Carolina,0,6.71,2.99
"Tunica, Mississippi",28143,Tunica,Mississippi,0,0.29,2.97
"Catawba, North Carolina",37035,Catawba,North Carolina,0,4.71,2.95
"Montgomery, Iowa",19137,Montgomery,Iowa,0,0.29,2.88
"Big Stone, Minnesota",27011,Big Stone,Minnesota,0,0.14,2.86
"Mitchell, North Carolina",37121,Mitchell,North Carolina,0,0.43,2.86
"Waynesboro city, Virginia",51820,Waynesboro city,Virginia,0,0.64,2.84
"Alleghany, North Carolina",37005,Alleghany,North Carolina,0,0.31,2.76
"Middlesex, Virginia",51119,Middlesex,Virginia,0,0.29,2.7
"Sampson, North Carolina",37163,Sampson,North Carolina,0,1.71,2.7
"Pocahontas, West Virginia",54075,Pocahontas,West Virginia,0,0.22,2.69
"Johnson, Kentucky",21115,Johnson,Kentucky,0,0.57,2.58
"Martin, North Carolina",37117,Martin,North Carolina,0,0.57,2.55
"Clay, North Carolina",37043,Clay,North Carolina,0,0.29,2.54
"Pitt, North Carolina",37147,Pitt,North Carolina,0,4.57,2.53
