geoid,name,pop,area,density
36061,"New York County, New York",1576876,33.68,46819.35866983373
36047,"Kings County, New York",2641052,96.87,27263.87942603489
36005,"Bronx County, New York",1424948,57.42,24816.23127830024
08014,"Broomfield County, Colorado",75325,5.0,15065.0
36081,"Queens County, New York",2331143,177.35,13144.307865802086
34017,"Hudson County, New Jersey",702463,62.26,11282.73369739801
42101,"Philadelphia County, Pennsylvania",1576251,142.68,11047.455845248107
51510,"Alexandria city, Virginia",154706,15.38,10058.90767230169
11001,"District of Columbia, District of Columbia",670050,68.36,9801.784669397308
11000,"District of Columbia, District of Columbia",670050,68.36,9801.784669397308
51685,"Manassas Park city, Virginia",17002,1.83,9290.71038251366
51013,"Arlington County, Virginia",232965,25.97,8970.542934154795
51610,"Falls Church city, Virginia",14493,2.0,7246.5
34013,"Essex County, New Jersey",854917,129.59,6597.090824909329
25025,"Suffolk County, Massachusetts",771245,120.07,6423.294744732239
24510,"Baltimore city, Maryland",576498,92.08,6260.838401390096
34039,"Union County, New Jersey",572114,105.46,5424.9383652569695
36085,"Richmond County, New York",493494,102.62,4808.9456246345735
08031,"Denver County, Colorado",711463,154.88,4593.640237603306
51540,"Charlottesville city, Virginia",45672,10.26,4451.461988304093
29510,"St. Louis city, Missouri",293310,66.15,4434.013605442176
51683,"Manassas city, Virginia",42708,10.03,4258.025922233301
51600,"Fairfax city, Virginia",24276,6.16,3940.909090909091
34003,"Bergen County, New Jersey",953819,246.82,3864.431569564865
51760,"Richmond city, Virginia",226604,62.61,3619.294042485226
06075,"San Francisco County, California",815201,231.89,3515.464228729139
06059,"Orange County, California",3167809,947.91,3341.8879429481703
27123,"Ramsey County, Minnesota",543257,170.16,3192.624588622473
17031,"Cook County, Illinois",5173146,1634.89,3164.216552795601
36059,"Nassau County, New York",1390907,453.32,3068.267449042619
51840,"Winchester city, Virginia",28136,9.33,3015.6484458735263
42045,"Delaware County, Pennsylvania",573849,190.77,3008.0673061802167
51678,"Lexington city, Virginia",7456,2.49,2994.3775100401604
51660,"Harrisonburg city, Virginia",51430,17.59,2923.820352472996
48113,"Dallas County, Texas",2586050,908.87,2845.3464191798607
51059,"Fairfax County, Virginia",1139720,406.81,2801.6027137975957
13089,"DeKalb County, Georgia",757718,270.94,2796.626559385842
17043,"DuPage County, Illinois",924885,336.87,2745.5249799625967
51630,"Fredericksburg city, Virginia",28367,10.52,2696.4828897338402
34023,"Middlesex County, New Jersey",860807,322.65,2667.9280954594765
48201,"Harris County, Texas",4728030,1777.89,2659.349003594148
26163,"Wayne County, Michigan",1774816,672.26,2640.073780977598
34031,"Passaic County, New Jersey",518117,197.07,2629.1013345511747
51710,"Norfolk city, Virginia",235089,96.3,2441.214953271028
39049,"Franklin County, Ohio",1321414,543.35,2431.975706266679
18097,"Marion County, Indiana",971102,403.11,2409.0248319317307
48439,"Tarrant County, Texas",2126477,897.56,2369.1753197557823
51570,"Colonial Heights city, Virginia",18273,7.79,2345.6996148908856
51770,"Roanoke city, Virginia",98865,42.93,2302.93501048218
34007,"Camden County, New Jersey",523771,227.59,2301.3796739751306
13067,"Cobb County, Georgia",766802,344.54,2225.5819353340685
13135,"Gwinnett County, Georgia",964546,436.74,2208.513074140221
51670,"Hopewell city, Virginia",23140,10.72,2158.582089552239
51740,"Portsmouth city, Virginia",97840,46.62,2098.670098670099
27053,"Hennepin County, Minnesota",1267416,606.43,2089.962567814917
24031,"Montgomery County, Maryland",1054827,506.22,2083.7323693255894
06037,"Los Angeles County, California",9829544,4752.32,2068.3674500033667
13063,"Clayton County, Georgia",297100,144.29,2059.0477510568994
37119,"Mecklenburg County, North Carolina",1122276,549.74,2041.4668752501182
06001,"Alameda County, California",1648556,821.26,2007.3496821956505
39061,"Hamilton County, Ohio",826139,412.81,2001.2572369855382
36119,"Westchester County, New York",997895,500.21,1994.952120109554
13121,"Fulton County, Georgia",1065334,534.59,1992.8057015656857
21111,"Jefferson County, Kentucky",777874,398.6,1951.5153035624685
24033,"Prince George's County, Maryland",955306,499.42,1912.8308838252372
25017,"Middlesex County, Massachusetts",1614742,847.63,1905.0080813562522
29189,"St. Louis County, Missouri",997187,523.61,1904.446057179962
51830,"Williamsburg city, Virginia",15590,8.74,1783.7528604118993
42091,"Montgomery County, Pennsylvania",860578,487.47,1765.396844934047
51775,"Salem city, Virginia",25373,14.55,1743.848797250859
41051,"Multnomah County, Oregon",803377,465.7,1725.0955550783767
31055,"Douglas County, Nebraska",585008,339.65,1722.3848078904757
36087,"Rockland County, New York",339227,199.36,1701.580056179775
34021,"Mercer County, New Jersey",385898,228.87,1686.101280202735
42003,"Allegheny County, Pennsylvania",1238090,744.73,1662.4682770937118
25021,"Norfolk County, Massachusetts",724505,443.97,1631.878280063968
51750,"Radford city, Virginia",16499,10.19,1619.1364082433759
48029,"Bexar County, Texas",2028236,1256.76,1613.8610394983928
51820,"Waynesboro city, Virginia",22550,14.06,1603.8406827880513
06067,"Sacramento County, California",1588921,995.65,1595.8630040676944
51680,"Lynchburg city, Virginia",79009,49.77,1587.4824191279886
12103,"Pinellas County, Florida",956615,607.75,1574.027149321267
51700,"Newport News city, Virginia",184587,119.03,1550.760312526254
26099,"Macomb County, Michigan",876792,569.81,1538.744493778628
44007,"Providence County, Rhode Island",658221,435.85,1510.2007571412182
51520,"Bristol city, Virginia",17054,11.59,1471.4408973252805
49035,"Salt Lake County, Utah",1186421,807.83,1468.6518203087282
12011,"Broward County, Florida",1930983,1319.74,1463.1541061118098
06013,"Contra Costa County, California",1161413,802.18,1447.8209379441025
06085,"Santa Clara County, California",1885508,1304.53,1445.3542655209155
51730,"Petersburg city, Virginia",33429,23.22,1439.6640826873386
12095,"Orange County, Florida",1422746,1004.31,1416.6402803915128
26125,"Oakland County, Michigan",1270017,908.07,1398.5893158016452
51153,"Prince William County, Virginia",484472,349.05,1387.9730697607793
51087,"Henrico County, Virginia",333554,243.22,1371.4086012663433
12117,"Seminole County, Florida",470093,344.9,1362.9834734705712
37183,"Wake County, North Carolina",1150204,857.5,1341.3457725947521
47037,"Davidson County, Tennessee",703953,526.16,1337.9067203892353
24027,"Howard County, Maryland",334529,253.56,1319.3287584792554
51790,"Staunton city, Virginia",25661,19.76,1298.6336032388663
51580,"Covington city, Virginia",5717,4.44,1287.6126126126126
39153,"Summit County, Ohio",537633,420.1,1279.7738633658653
20091,"Johnson County, Kansas",613219,480.18,1277.0606855762421
48453,"Travis County, Texas",1305154,1022.19,1276.8213345855465
48085,"Collin County, Texas",1109462,885.91,1252.341659988035
24005,"Baltimore County, Maryland",849316,682.08,1245.1853155055126
51690,"Martinsville city, Virginia",13517,11.01,1227.702089009991
09003,"Hartford County, Connecticut",896854,750.61,1194.833535391215
47157,"Shelby County, Tennessee",924454,783.69,1179.6169403718307
12057,"Hillsborough County, Florida",1478194,1266.36,1167.2778672731295
29095,"Jackson County, Missouri",716862,616.16,1163.4348221241237
10003,"New Castle County, Delaware",571708,493.53,1158.4057706725023
39113,"Montgomery County, Ohio",535840,464.39,1153.857748874868
09001,"Fairfield County, Connecticut",959768,837.01,1146.662524939965
40143,"Tulsa County, Oklahoma",672858,587.05,1146.1681287794909
44001,"Bristol County, Rhode Island",50818,44.71,1136.6137329456496
34035,"Somerset County, New Jersey",345647,305.07,1133.0088176484087
21067,"Fayette County, Kentucky",321793,285.53,1127.0024165586804
40109,"Oklahoma County, Oklahoma",798575,718.38,1111.6331189621092
12086,"Miami-Dade County, Florida",2662777,2429.59,1095.9779222008651
